,precio-dto,precio-lista,descripcion
206,"$ 46,69","$ 62,25",Agua saborizada Awafrut sin gas nar dur sin azúcar 500 cc.
207,"$ 46,69","$ 62,25",Agua saborizada Awafrut sin gas pomelo sin azúcar 500 cc.
208,"$ 46,69","$ 62,25",Agua saborizada Awafrut sin gas manzana sin azúcar 500 cc.
209,,"$ 63,88",Bebida isotónica Powerade mountain blast 500 cc.
210,,"$ 64,26",Gaseosa 7 Up light lima limón 500 cc.
211,,"$ 65,36",Agua mineral sin gas Eco de los Andes 500 cc.
212,,"$ 99,00",Bebida isotónica Carrefour manzana cero azúcar 750 cc.
213,,"$ 99,00",Bebida isotónica Carrefour blueberry cero azúcar 750 cc.
214,,"$ 99,00",Bebida isotónica Carrefour frutas tropicales cero azúcar 750 cc.
215,,"$ 99,00",Bebida isotónica Carrefour naranja cero azúcar 750 cc.
216,"$ 18,00","$ 24,00",Jugo en polvo Arcor ananá 18 g.
217,"$ 18,00","$ 24,00",Jugo en polvo Arcor naranja 18 g.
218,,"$ 133,60",Cerveza rubia Palermo 1 l.
219,,"$ 68,43",Gaseosa Pepsi black 500 cc.
220,,"$ 137,50",Jugo concentrado frutilla Juvin pet 1 l.
221,,"$ 137,50",Jugo concentrado ananá Juvin pet 1 l.
222,,"$ 137,50",Jugo concentrado durazno Juvin pet 1 l.
223,,"$ 137,50",Jugo concentrado pomelo Juvin pet 1 l.
224,,"$ 137,50",Jugo concentrado manzana Juvin pet 1 l.
225,,"$ 24,90",Jugo en polvo Rinde Dos naranja y banana 18 g.
226,,"$ 24,90",Jugo en polvo Rinde Dos ananá 18 g.
227,,"$ 24,90",Jugo en polvo Rinde mix frutal 18 g.
228,,"$ 24,90",Jugo en polvo Rinde Dos naranja durazno 18 g.
229,,"$ 24,90",Jugo en polvo Rinde manzana 18 g.
230,,"$ 24,90",Jugo en polvo Rinde Dos naranja 18 g.
231,,"$ 24,90",Jugo en polvo Rinde Dos naranja citrus 18 g.
